Artist,Sort Artist,Album,Tracks,Discs,Album DR,Date Master,Date Release,Bit Depth,Sample Rate,Channels,# Covers,Cover Width,Cover Height,Fixed Album Name,Description,Discogs Master,Discogs Release,Musicbrainz Release Group,Musicbrainz Album
Billy Joel,"Joel, Billy",The Complete Hits Collection: 1973-1997 [2001 CD 44kHz DR10],11,4,10,1997,2001,16,44,2,1,1500,1500,,,m707495,7076776,,fca77453-75cb-4efb-a8d7-034da130a051
Billy Joel,"Joel, Billy",Turnstiles [2013 Qobuz 96kHz DR09],8,1,09,1976,2013,24,96,2,1,1400,1400,,Qobuz,m56978,25735759,46a3a9dc-510e-3765-81dd-536ced41819a,79c9788a-046b-4812-873c-f1216d0d4490
Billy Joel,"Joel, Billy",Концерт [1987 CD 44kHz DR10],16,1,10,1987,1987,16,44,2,1,1500,1500,,,m75395,4407356,,13dff7eb-c001-43a1-b391-30d172c6e016
Billy Joel,"Joel, Billy",The Bridge [1986 CD 44kHz DR14],9,1,14,1986,1986,16,44,2,1,1500,1500,,,m72126,1881211,e09226c5-87f6-3f71-b199-d9d5797e714b,90157719-4b69-3ace-9424-cc69e81b07a0
Billy Joel,"Joel, Billy",River Of Dreams [2013 Qobuz 96kHz DR07],10,1,07,1993,2013,24,96,2,1,1500,1500,,Qobuz,m75643,12694015,166ca278-c030-388d-85d7-f8f963796d7f,137e2f87-5570-4afe-aefb-beb356e5c40f
Billy Joel,"Joel, Billy",Turn The Lights Back On [2024 Qobuz 48kHz DR04],1,1,04,2024,2024,24,48,2,1,1500,1500,,Qobuz,m3386197,29669680,b0a8aa99-c938-41db-afee-7728793abc9d,10a28474-a920-43f5-bf6d-55b8621e9ad6
Dennis DeYoung,"DeYoung, Dennis","26 East, Vol. 1 [2020 CD 44kHz DR07]",10,1,07,2020,2020,16,44,2,1,3000,3000,,,m1742939,15353157,741758d0-e681-4518-8fcb-275a913d5a50,f1c0ab65-8115-4108-b751-4213b1b523c9
Dennis DeYoung,"DeYoung, Dennis",Desert Moon [1984 CD 44kHz DR13],8,1,13,1984,1984,16,44,2,1,1417,1417,,,m186016,4929792,a07559e1-4d26-3bdd-bea0-2bbb285e3c17,4f984aa9-b453-4fac-a851-0fc52d30f89e
Dennis DeYoung,"DeYoung, Dennis","26 East, Vol. 2 [2021 CD 44kHz DR07]",13,1,07,2021,2021,16,44,2,1,1500,1500,,,m2167756,19101643,ea958f05-5312-4b67-92b5-0951130201c6,79847fa2-3692-4f05-b95c-5861e9351d66
Saga,Saga,In Transit [1987 CD 44kHz DR13],9,1,13,1982,1987,16,44,2,1,1500,1500,,,m42180,13677171,a60745e5-b82a-3e5e-a089-f8ca1083e11b,3a3788d0-5bef-3619-95b1-0fdc760f0b25
Saga,Saga,Heads Or Tales [2021 Qobuz 48kHz DR11],10,1,11,1983,2021,24,48,2,1,4000,4000,,Qobuz,m42113,19936798,21f6aa26-3e6e-3311-a341-0cfa962296b5,519f541f-efe9-45b7-9fae-6af1bc58391c
Saga,Saga,Worlds Apart [1987 CD 44kHz DR13],9,1,13,1981,1987,16,44,2,1,1500,1500,,,m58997,573520,439401cf-0bef-365d-b190-29eedba923e6,16d6458f-03b7-3e20-9fca-8c0c0f87be8a
Saga,Saga,Saga [2021 Qobuz 48kHz DR10],8,1,10,1978,2021,24,48,2,1,1500,1500,,Qobuz,m58992,20020456,8a6ad7da-c684-3f5e-b3d6-2ebd8cdae9b1,f75a774a-d4da-4267-ab54-193847215b82
REO Speedwagon,REO Speedwagon,Hi Infidelity - 30th Anniversary Edition [2011 Qobuz 44kHz DR10],10,2,10,1980,2011,16,44,2,1,1400,1400,Hi Infidelity - 30th Anniversary Edition,Qobuz,m95203,11213498,89a69718-85a9-3ac6-b935-8e02ad89638b,a3d8c1a8-d103-4a5e-b8ca-6ab51a0e262c
REO Speedwagon,REO Speedwagon,"The Earth, A Small Man, His Dog And A Chicken [1990 CD 44kHz DR10]",11,1,10,1990,1990,16,44,2,1,1280,1280,,,m317436,2757260,,c9de58ee-67c4-4d1d-83fd-82a78c0c1e97
REO Speedwagon,REO Speedwagon,Hi Infidelity [2024 Qobuz 192kHz DR12],10,1,12,1980,2024,24,192,2,1,3000,3000,,Qobuz,m95203,30584845,89a69718-85a9-3ac6-b935-8e02ad89638b,1e639bf3-6b4c-4e1a-9d15-c61511804c8f
REO Speedwagon,REO Speedwagon,Good Trouble [1989 Qobuz 44kHz DR12],10,1,12,1982,1989,16,44,2,1,1400,1400,,Qobuz,m95205,6106715,faff92fb-9232-3759-9d8a-70cd966c2610,85a2ac36-d1c5-492d-b5b5-35dcdf355a16
REO Speedwagon,REO Speedwagon,Life As We Know It [1987 CD 44kHz DR13],10,1,13,1987,1987,16,44,2,1,1280,1280,,,m95214,6320526,383c24ef-29cc-3d02-b46c-837f3405bb1d,7cff6170-d2f1-48b3-a558-d2256f97f113
REO Speedwagon,REO Speedwagon,The Hits [1988 CD 44kHz DR13],14,1,13,1988,1988,16,44,2,1,1500,1500,,,m95217,9551258,,da37cd6a-1a3e-4d0c-9399-716aeb37a658
Cutting Crew,Cutting Crew,(I Just) Died In Your Arms [1986 Vinyl 96kHz DR13],3,1,13,1986,1986,24,96,2,1,3258,3258,,Vinyl,m30670,539061,481a13cd-122a-3327-8ea9-347a5a776fe5,663dc425-0825-43b7-992a-3893ea0161d6
Cutting Crew,Cutting Crew,Broadcast [2010 CD 44kHz DR11],14,1,11,1986,2010,16,44,2,1,2400,2400,,,m65301,2813033,fc218e4c-8cee-36d7-b8ee-595879839b24,07e8751b-d8be-4d09-81e6-62cd27061c7e
Queen,Queen,A Day At The Races [1989 CD 44kHz DR12],10,1,12,1976,1989,16,44,2,1,1500,1500,A Day At The Races,,m6108,3033392,a106e33b-e440-3ff3-9250-c6408ed73e60,762cb62a-e91d-402d-8a2e-3d1068ca53d5
Queen,Queen,A Night At The Opera [1989 CD 44kHz DR11],12,1,11,1975,1989,16,44,2,1,1500,1500,,,m5863,3887845,6b47c9a0-b9e1-3df9-a5e8-50a6ce0dbdbd,aeff921c-5533-4fec-8b90-a7a9a40813d7
Queen,Queen,Innuendo [1991 CD 44kHz DR12],12,1,12,1991,1991,16,44,2,1,1500,1500,,,m19705,6266865,daf57856-a734-3441-b0fd-26aa5f28ca64,9098171d-ad7e-4fc5-a2a0-d38be7ba799a
